2026-01-13 02:04:27 status unpacked zlib1g:amd64 1:1.3.dfsg-3.1ubuntu2
2026-01-13 02:04:27 startup packages configure
2026-01-13 02:04:27 configure gcc-14-base:amd64 14-20240412-0ubuntu1 <none>
2026-01-13 02:04:27 status unpacked gcc-14-base:amd64 14-20240412-0ubuntu1
2026-01-13 02:04:27 status half-configured gcc-14-base:amd64 14-20240412-0ubuntu1
2026-01-13 02:04:27 status installed gcc-14-base:amd64 14-20240412-0ubuntu1
2026-01-13 02:04:27 configure libaudit-common:all 1:3.1.2-2.1build1 <none>
2026-01-13 02:04:27 status unpacked libaudit-common:all 1:3.1.2-2.1build1
2026-01-13 02:04:27 status half-configured libaudit-common:all 1:3.1.2-2.1build1
2026-01-13 02:04:27 status installed libaudit-common:all 1:3.1.2-2.1build1
2026-01-13 02:04:27 configure libsemanage-common:all 3.5-1build5 <none>
2026-01-13 02:04:27 status unpacked libsemanage-common:all 3.5-1build5
2026-01-13 02:04:27 status half-configured libsemanage-common:all 3.5-1build5
2026-01-13 02:04:27 status installed libsemanage-common:all 3.5-1build5
2026-01-13 02:04:27 configure debconf:all 1.5.86ubuntu1 <none>
2026-01-13 02:04:27 status unpacked debconf:all 1.5.86ubuntu1
2026-01-13 02:04:27 status half-configured debconf:all 1.5.86ubuntu1
2026-01-13 02:04:27 status installed debconf:all 1.5.86ubuntu1
2026-01-13 02:04:27 configure ncurses-base:all 6.4+20240113-1ubuntu2 <none>
2026-01-13 02:04:27 status unpacked ncurses-base:all 6.4+20240113-1ubuntu2
2026-01-13 02:04:27 status half-configured ncurses-base:all 6.4+20240113-1ubuntu2
2026-01-13 02:04:27 status installed ncurses-base:all 6.4+20240113-1ubuntu2
2026-01-13 02:04:27 configure init-system-helpers:all 1.66ubuntu1 <none>
2026-01-13 02:04:27 status unpacked init-system-helpers:all 1.66ubuntu1
2026-01-13 02:04:27 status half-configured init-system-helpers:all 1.66ubuntu1
2026-01-13 02:04:27 status installed init-system-helpers:all 1.66ubuntu1
2026-01-13 02:04:27 configure sensible-utils:all 0.0.22 <none>
2026-01-13 02:04:27 status unpacked sensible-utils:all 0.0.22
2026-01-13 02:04:27 status half-configured sensible-utils:all 0.0.22
2026-01-13 02:04:27 status installed sensible-utils:all 0.0.22
2026-01-13 02:04:27 configure libgcc-s1:amd64 14-20240412-0ubuntu1 <none>
2026-01-13 02:04:27 status unpacked libgcc-s1:amd64 14-20240412-0ubuntu1
2026-01-13 02:04:27 status half-configured libgcc-s1:amd64 14-20240412-0ubuntu1
2026-01-13 02:04:27 status installed libgcc-s1:amd64 14-20240412-0ubuntu1
2026-01-13 02:04:27 configure libc6:amd64 2.39-0ubuntu8 <none>
2026-01-13 02:04:27 status unpacked libc6:amd64 2.39-0ubuntu8
2026-01-13 02:04:27 status half-configured libc6:amd64 2.39-0ubuntu8
2026-01-13 02:04:27 status installed libc6:amd64 2.39-0ubuntu8
2026-01-13 02:04:27 configure libmd0:amd64 1.1.0-2build1 <none>
2026-01-13 02:04:27 status unpacked libmd0:amd64 1.1.0-2build1
2026-01-13 02:04:27 status half-configured libmd0:amd64 1.1.0-2build1
2026-01-13 02:04:27 status installed libmd0:amd64 1.1.0-2build1
2026-01-13 02:04:27 configure libattr1:amd64 1:2.5.2-1build1 <none>
2026-01-13 02:04:27 status unpacked libattr1:amd64 1:2.5.2-1build1
2026-01-13 02:04:27 status half-configured libattr1:amd64 1:2.5.2-1build1
2026-01-13 02:04:27 status installed libattr1:amd64 1:2.5.2-1build1
2026-01-13 02:04:27 configure sysvinit-utils:amd64 3.08-6ubuntu3 <none>
2026-01-13 02:04:27 status unpacked sysvinit-utils:amd64 3.08-6ubuntu3
2026-01-13 02:04:27 status half-configured sysvinit-utils:amd64 3.08-6ubuntu3
2026-01-13 02:04:27 status installed sysvinit-utils:amd64 3.08-6ubuntu3
2026-01-13 02:04:27 configure libext2fs2t64:amd64 1.47.0-2.4~exp1ubuntu4 <none>
2026-01-13 02:04:27 status unpacked libext2fs2t64:amd64 1.47.0-2.4~exp1ubuntu4
2026-01-13 02:04:27 status half-configured libext2fs2t64:amd64 1.47.0-2.4~exp1ubuntu4
2026-01-13 02:04:27 status installed libext2fs2t64:amd64 1.47.0-2.4~exp1ubuntu4
2026-01-13 02:04:27 configure debianutils:amd64 5.17build1 <none>
2026-01-13 02:04:27 status unpacked debianutils:amd64 5.17build1
2026-01-13 02:04:27 status half-configured debianutils:amd64 5.17build1
2026-01-13 02:04:27 status installed debianutils:amd64 5.17build1
2026-01-13 02:04:27 configure mawk:amd64 1.3.4.20240123-1build1 <none>
2026-01-13 02:04:27 status unpacked mawk:amd64 1.3.4.20240123-1build1
2026-01-13 02:04:27 status half-configured mawk:amd64 1.3.4.20240123-1build1
2026-01-13 02:04:27 status installed mawk:amd64 1.3.4.20240123-1build1
2026-01-13 02:04:27 configure libdebconfclient0:amd64 0.271ubuntu3 <none>
2026-01-13 02:04:27 status unpacked libdebconfclient0:amd64 0.271ubuntu3
2026-01-13 02:04:27 status half-configured libdebconfclient0:amd64 0.271ubuntu3
2026-01-13 02:04:27 status installed libdebconfclient0:amd64 0.271ubuntu3
2026-01-13 02:04:27 configure libbz2-1.0:amd64 1.0.8-5.1 <none>
2026-01-13 02:04:27 status unpacked libbz2-1.0:amd64 1.0.8-5.1
2026-01-13 02:04:27 status half-configured libbz2-1.0:amd64 1.0.8-5.1
